file,role,thesis_ref,note
appendix_A1_action_timeline.png,appendix_or_defense,Appendix A,Step-by-step action sequence
appendix_A2_battery_vs_time.png,appendix_or_defense,Appendix A.2,Battery depletion time-series explanation
appendix_A2_channel_quality_distribution.png,appendix_or_defense,Appendix A / limitations,Documents poor-channel limitation
appendix_A3_aoi_vs_time_clean.png,appendix_or_defense,Appendix A.3,AoI sawtooth/reset explanation
appendix_A3_controlled_channel_policy_heatmap.png,appendix_only,Appendix A3,CONTROLLED DIAGNOSTIC ONLY — not empirical FIT IoT-LAB evidence
defense_only_energy_efficiency_freshness_source.csv,defense_only_data,not a main thesis figure,A4 scatter removed from default outputs to avoid duplicate/confusing trade-off interpretation
defense_only_old_pareto_front.png,defense_only,,Legacy duplicate trade-off figure; use Figure 4.2 in the thesis
defense_only_weight_sensitivity_wide.png,defense_only,,Wide duplicate of Figure 4.3; kept only for defense backup
figure_4_1_action_distribution.png,main_thesis,Figure 4.1,Action distribution across policies
figure_4_2_tradeoff_frontier_clean.png,main_thesis,Figure 4.2,Clean data-driven AoI–lifetime trade-off
figure_4_3_weight_sweep.png,main_thesis,Figure 4.3,Preference weight sweep across experiments
figure_4_4_combined_cost.png,main_thesis,Figure 4.4,Combined scheduling cost for same RL trajectory under α values
figure_4_5_stability_cv.png,appendix_or_defense,supporting evidence,Descriptive cross-trace stability; not formal repeated-trial inference
